Score1	Score2	Pearson
Weighted Cosine Correlation	Squared-chord Distance	-0.427336871717708
Weighted Cosine Correlation	Harmonic mean Distance	0.736252605105242
Weighted Cosine Correlation	Pearson Chi Squared Distance	-0.0727612783143077
Weighted Cosine Correlation	Neyman Chi Squared Distance	-0.40574088599695
Weighted Cosine Correlation	Probabilistic symmetric X2 Distance	-0.36993106597652
Weighted Cosine Correlation	Topsoe Distance	-0.395553847122445
Weighted Cosine Correlation	Chernoff Distance	-0.578920600300579
Weighted Cosine Correlation	Ruzicka Distance	-0.789627806405631
Weighted Cosine Correlation	Roberts Distance	-0.727931932089767
Weighted Cosine Correlation	Motyka Distance	0.760959573468613
Weighted Cosine Correlation	Canberra Distance	0.0557767836563156
Weighted Cosine Correlation	Canberra Metric	-0.692725993487034
Weighted Cosine Correlation	Kulczynski 1 Distance	-0.0914789900655668
Weighted Cosine Correlation	Lorentzian Distance	-0.255620503643504
Weighted Cosine Correlation	Clark Distance	0.0147236364935508
Weighted Cosine Correlation	Hellinger Distance	-0.505198132144106
Weighted Cosine Correlation	Whittaker index of association Distance	-0.152323278500091
Weighted Cosine Correlation	Spectral Contrast Angle	-0.653285956686846
Weighted Cosine Correlation	Wave Hedges Distance	0.0786067102906447
Weighted Cosine Correlation	Dice Similarity	0.630263221471203
Weighted Cosine Correlation	Inner Product Distance	-0.634288324444798
Weighted Cosine Correlation	Divergence Distance	0.0221457764367999
Weighted Cosine Correlation	Jensen Differences Distance	-0.395553847122445
Weighted Cosine Correlation	Kumar Johnson Distance	-0.0459359622126867
Weighted Cosine Correlation	Avg (L1, L8) Distance	-0.306993858775513
Weighted Cosine Correlation	Vicis Wave Hadges Distance	-0.0484973292753632
Weighted Cosine Correlation	Vicis-Symmetric X2 1 Distance	-0.0344125527526201
Weighted Cosine Correlation	Vicis-Symmetric X2 2 Distance	-0.0728991880492964
Weighted Cosine Correlation	Vicis-Symmetric X2 3 Distance	-0.345383871092845
Weighted Cosine Correlation	Max Symmetric Chi Squared Distance	-0.0727610259553159
Weighted Cosine Correlation	Min Symmetric Chi Squared Distance	-0.407315491865691
Weighted Cosine Correlation	Additive Symmetric Chi Squared	-0.0728991880492965
Weighted Cosine Correlation	Battacharya Distance	-0.414729335027426
