Score1	Score2	Pearson
Weighted Cosine Correlation	Kulczynski 1 Distance	-0.0899833977502077
Weighted Cosine Correlation	Lorentzian Distance	-0.784533827029165
Weighted Cosine Correlation	Clark Distance	0.0115792566104559
Weighted Cosine Correlation	Hellinger Distance	-0.845274766347162
Weighted Cosine Correlation	Whittaker index of association Distance	-0.152323278501155
Weighted Cosine Correlation	Spectral Contrast Angle	-0.653285956686959
Weighted Cosine Correlation	Wave Hedges Distance	0.0749358913692485
Weighted Cosine Correlation	Dice Similarity	0.645087985405602
Weighted Cosine Correlation	Inner Product Distance	-0.466857097150862
Weighted Cosine Correlation	Divergence Distance	0.0193085670169936
Weighted Cosine Correlation	Jensen Differences Distance	-0.797153784421448
Weighted Cosine Correlation	Kumar Johnson Distance	-0.0283234026873307
Weighted Cosine Correlation	Avg (L1, L8) Distance	-0.719178231911966
Weighted Cosine Correlation	Vicis Wave Hadges Distance	-0.0262256255380607
Weighted Cosine Correlation	Vicis-Symmetric X2 1 Distance	-0.00876239912604653
Weighted Cosine Correlation	Vicis-Symmetric X2 2 Distance	-0.0625605933293125
Weighted Cosine Correlation	Vicis-Symmetric X2 3 Distance	-0.787837124492849
Weighted Cosine Correlation	Max Symmetric Chi Squared Distance	-0.0622534582468419
Weighted Cosine Correlation	Min Symmetric Chi Squared Distance	-0.298036658270446
Weighted Cosine Correlation	Additive Symmetric Chi Squared	-0.0625605933293126
Weighted Cosine Correlation	Battacharya Distance	-0.408578185558686
Weighted Cosine Correlation	Generalized Ochai Index	-0.782363021415438
Weighted Cosine Correlation	Gower Distance	-0.36762794064699
Weighted Cosine Correlation	Improved Square Root Cosine Similarity	0.465957327758069
Weighted Cosine Correlation	Intersection Similarity	0.782363021415439
Weighted Cosine Correlation	J Divergence	-0.764561426101868
Weighted Cosine Correlation	Jensen Shannon Index	-0.797153784421448
Weighted Cosine Correlation	K Divergence	-0.785898771963718
Weighted Cosine Correlation	VW6	-0.298036658270446
Weighted Cosine Correlation	VW5	-0.0622534582468419
Weighted Cosine Correlation	VW4	-0.787837124492849
