MZ	Intensity	Abundance
380.450737	790.482727	1
383.057768	761.230164	1
383.400777	794.834167	1
383.886311	1743.36377	1
385.883524	1510.534424	1
389.788288	845.767151	1
392.906666	1346.952393	1
393.042071	2552.85083	2
397.139997	747.637146	1
399.035271	2398.496826	2
406.01539	769.596863	1
406.281375	887.291199	1
406.635913	851.851868	1
408.010441	20462.43945	15
408.679247	1034.969238	1
409.013485	2621.407959	2
415.025487	1947.736084	1
421.074691	5836.328125	4
426.020086	16154.60254	12
427.285483	778.370178	1
436.959997	973.887756	1
437.338169	793.97467	1
442.925724	4449.832031	3
448.002335	1781.238037	1
454.633827	760.713318	1
489.041882	1150.334717	1
489.076619	1117.431152	1
498.655878	896.579285	1
500.658388	781.158875	1
500.698603	845.190247	1
504.539139	841.523376	1
507.950029	1160.710938	1
509.15907	889.507751	1
515.245211	945.139832	1
518.843569	1172.044189	1
518.9865	1591.304688	1
518.997669	1936.814697	1
519.01554	5669.472168	4
519.031178	13963.71094	10
519.051285	841434.4375	626
519.062456	15450.29395	11
519.069158	14295.15918	11
519.089268	6426.706055	5
519.098205	986.426819	1
519.107143	2942.678711	2
519.151837	1206.963623	1
519.259125	1417.575439	1
520.033477	2048.426514	2
520.040199	1940.611572	1
520.053642	106054.5	79
520.073809	1653.031006	1
521.054412	21411.86328	16
522.058074	1641.023438	1
522.931315	814.138489	1
525.762326	975.008362	1
527.035557	4301.211426	3
527.200182	1904.768555	1
529.128815	789.570374	1
534.756623	842.267761	1
535.205482	809.626892	1
539.990745	1816.401611	1
539.995486	1796.50293	1
540.014453	5059.17041	4
540.03342	11797.49414	9
540.038162	11095.62891	8
540.052389	719326.9375	535
540.064244	15551.03613	12
540.071358	12205.76074	9
540.0927	5386.703125	4
540.111672	2509.71167	2
541.032997	64595.83203	48
541.054396	101407.6406	75
541.066285	3744.873779	3
541.075796	2166.424805	2
542.035352	7019.00293	5
542.05681	16263.69629	12
543.009416	7516.286621	6
543.035713	1899.358398	1
543.059622	2818.408936	2
554.82935	852.702942	1
554.868858	2653.314697	2
557.00608	3489.234863	3
558.063134	6387.245117	5
558.504254	1082.979492	1
559.065755	1127.314209	1
560.971164	1763.609131	1
561.008819	887.641174	1
561.971567	1905.982422	1
562.031979	1392.848633	1
562.16794	4027.378418	3
562.967078	21968.67969	16
563.037746	1146.859131	1
563.970297	1796.773926	1
564.165187	3582.600586	3
564.502052	856.338562	1
564.971126	1163.411865	1
565.166535	1610.413574	1
566.160371	1666.17334	1
566.537238	847.907166	1
570.365299	858.690491	1
571.597442	1060.354248	1
571.961662	1752.58667	1
572.145195	817.489685	1
572.970892	3196.298828	2
576.004213	981.219788	1
576.02772	82178.29688	61
577.032023	12556.77539	9
578.025826	23965.87695	18
579.016934	5227.615723	4
579.027464	4069.48291	3
580.021151	1047.863525	1
584.947969	1928.408447	1
592.973365	2944.758057	2
598.011228	3233.137695	2
598.990495	2877.030762	2
600.925643	757.482239	1
600.986876	1784.864014	1
602.91773	946.48407	1
608.948111	3658.758545	3
610.943166	1124.990723	1
612.171807	1014.333557	1
613.450084	860.96637	1
615.285623	1144.974609	1
616.249836	854.70575	1
620.354154	771.742249	1
622.625654	855.669006	1
629.948431	1998.016602	1
636.966615	998.592712	1
638.027928	1027.790283	1
638.997281	836.78949	1
639.284242	802.715393	1
645.058115	900.496155	1
649.854516	915.240784	1
653.124994	895.83905	1
655.966089	854.929138	1
656.992532	1122.804932	1
661.353787	804.809265	1
662.099904	56497.24609	42
662.115998	872.094055	1
662.128874	1205.619629	1
663.105295	12646.86719	9
664.106511	1360.112061	1
665.924163	1033.129883	1
686.624596	856.909607	1
698.075071	63434.98438	47
699.079721	12250.00684	9
700.072544	19351.30078	14
701.078004	4020.261719	3
718.031199	894.283752	1
720.060238	7189.073242	5
720.556964	845.493103	1
722.053899	1433.212402	1
732.432037	745.203064	1
743.253708	703.117371	1
756.643425	966.409363	1
760.816968	818.366028	1
769.482007	818.339294	1
779.043064	1646.713867	1
779.080038	52546.50391	39
779.100581	1514.352539	1
780.058761	686.497192	1
780.083459	9720.981445	7
781.084695	4149.845703	3
785.707813	901.400818	1
796.121023	1609.928711	1
800.082614	15787.49512	12
801.028372	816.216614	1
801.041222	801.570618	1
801.062639	21478.59375	16
802.065924	4769.324707	4
803.015202	985.594421	1
803.036699	2944.249023	2
803.066795	1307.980225	1
809.246365	832.179626	1
817.026421	4525.152832	3
820.998588	1205.658447	1
822.061834	5105.058105	4
822.993313	5233.331055	4
823.042382	8004.907715	6
824.00234	1783.326416	1
825.017701	2181.172363	2
831.992146	2056.21875	2
832.999604	3520.031494	3
834.997224	1359.619873	1
840.978094	1008.81012	1
843.994971	2029.958496	2
844.977908	3807.918945	3
847.98836	993.748474	1
854.001148	1773.505615	1
854.973282	891.355652	1
857.866435	804.064514	1
862.260087	818.812073	1
865.363453	788.279602	1
866.957592	1004.815491	1
874.755189	925.856262	1
888.879179	878.57782	1
889.91149	879.493958	1
892.792392	894.724792	1
905.980119	5250.097656	4
906.980441	1160.395752	1
922.08046	1060.988037	1
922.09633	981.83197	1
922.128072	92310.53125	69
923.134068	21591.88477	16
924.131097	6412.894043	5
925.135057	2085.446045	2
936.731451	795.33429	1
944.114245	7825.376953	6
945.112527	4152.350098	3
975.928185	964.602356	1
983.139187	829.904114	1
984.054197	1112.292969	1
984.159185	948.508606	1
989.830009	1013.93927	1
1004.283498	856.176208	1
1005.969235	30369.86914	23
1006.976678	6405.600586	5
1014.144561	961.006287	1
1039.106639	10494.11523	8
1040.113579	4027.326172	3
1047.107292	928.917419	1
1050.103247	999.167908	1
1051.73814	806.409851	1
1054.165315	852.269348	1
1055.446834	1013.265564	1
1060.511519	959.661682	1
1061.092474	5963.379883	4
1062.09231	2277.883789	2
1063.073914	1778.036621	1
1077.060648	1667.95752	1
1083.028959	2163.441895	2
1083.076098	1172.346924	1
1093.030069	2399.134277	2
1099.035418	1705.257813	1
1105.007113	1523.471191	1
1105.048753	1980.04248	1
1105.965432	38352.78516	29
1106.000177	977.252991	1
1106.966746	8850.544922	7
1107.969421	1676.806641	1
1110.013796	1024.799316	1
1114.414703	849.177673	1
1115.005343	3512.138428	3
1120.186452	974.287415	1
1120.576136	828.8078	1
1155.9558	15589.48926	12
1156.958865	3972.512695	3
1157.955792	6046.480469	4
1165.977798	1509.668701	1
1169.967172	896.376526	1
1182.158736	11914.30176	9
1183.165351	5577.010742	4
1184.173251	1030.781982	1
1191.458981	855.656677	1
1198.239896	760.450012	1
1204.138887	3742.030029	3
1205.142095	1541.885986	1
1205.95664	19465.02344	14
1206.962121	4546.255371	3
1215.307531	980.734314	1
1220.108355	1295.613281	1
1223.133432	880.76886	1
1226.072435	1723.691895	1
1226.121103	2001.60498	1
1235.084483	866.674988	1
1236.077355	2639.138184	2
1237.079644	1843.09668	1
1255.953397	39054.22656	29
1256.954705	6894.935547	5
1257.948782	10827.13379	8
1258.952477	2762.520264	2
1265.978062	1310.360352	1
1288.170924	1017.398743	1
1299.132894	1007.66449	1
1302.492295	869.088806	1
1305.659709	862.216736	1
1305.953902	3271.230225	2
1321.126924	1478.980469	1
1343.042391	1265.239014	1
1355.939238	27597.94141	21
1356.939715	7770.872559	6
1357.941301	9677.072266	7
1358.943995	1589.169189	1
1365.965443	2020.52002	2
1366.003596	793.042175	1
1374.003183	853.17926	1
1396.513368	827.813538	1
1400.812285	870.422668	1
1409.349924	793.995178	1
1411.010737	831.103088	1
1442.19023	1932.396484	1
1448.679223	904.347473	1
1455.936047	11585.15234	9
1456.933658	2928.273193	2
1457.932294	5881.556152	4
1458.931958	1513.794189	1
1464.167989	1927.526123	1
1467.157504	1054.976807	1
1481.855255	914.216736	1
