"MZ"	"Intensity"	"Abundance"
"1"	166.974877	235480.8906	58.418658553388
"2"	194.92686	314286.8438	77.9690265693864
"3"	259.021646	4026888.25	999
"4"	259.021646	1343632.875	333.331634451242
"5"	260.024804	64862.09375	16.0911422501605
"6"	264.942411	298662.8125	74.092979780976
"7"	275.016751	922153.375	228.76999917368
"8"	328.043944	70331.75	17.4480675618451
"9"	372.983255	584884.9375	145.09964426316
"10"	519.051285	2911254	722.230805883426
"11"	519.051285	841434.4375	208.745053469636
"12"	520.053642	399270.5625	99.0519893214072
"13"	520.053642	106054.5	26.3102522152185
"14"	540.052389	719326.9375	178.452334892209
"15"	541.032997	279007	69.21671913791
"16"	541.032997	64595.83203	16.0250874103521
"17"	541.054396	101407.6406	25.1574483000366
"18"	576.02772	82178.29688	20.386987044679
"19"	779.080038	456053.7813	113.138905088489
"20"	922.128072	92310.53125	22.9006158089314
